б ц {'rel_weight': 0.9790502415062994, 'rel_center': 0.9872506924471274, 'rel_inertia': 0.9999158573927984}
б ч {'rel_weight': 0.9552543212050739, 'rel_center': 0.9954727831608329, 'rel_inertia': 0.9974902149544352}
б ш {'rel_weight': 0.9904648936243162, 'rel_center': 0.9854045525385826, 'rel_inertia': 0.9972330544096135}
б щ {'rel_weight': 0.9790267984127644, 'rel_center': 0.9808936599357818, 'rel_inertia': 0.9960062961932149}
б ъ {'rel_weight': 0.9729660890095114, 'rel_center': 0.990416293147441, 'rel_inertia': 0.9986733189800975}
б ы {'rel_weight': 0.9965195350701411, 'rel_center': 0.9865182682023033, 'rel_inertia': 0.9982754467181721}
б ь {'rel_weight': 0.9646467142028637, 'rel_center': 0.9890352886461187, 'rel_inertia': 0.9984987959846978}
б э {'rel_weight': 0.9645129353115006, 'rel_center': 0.9932775054109817, 'rel_inertia': 0.9982363609141333}
б ю {'rel_weight': 0.9935501693063795, 'rel_center': 0.9895668569779481, 'rel_inertia': 0.9980711398451947}
б я {'rel_weight': 0.9792982898673686, 'rel_center': 0.9936753394669718, 'rel_inertia': 0.9982879065714283}
в а {'rel_weight': 0.9972998356115462, 'rel_center': 0.9984749138671961, 'rel_inertia': 0.9995420547254006}
в б {'rel_weight': 0.9761293260533231, 'rel_center': 0.9923532121419316, 'rel_inertia': 0.9980631056215654}
в в {'rel_weight': 0.9971465472985259, 'rel_center': 0.9994596301517288, 'rel_inertia': 0.9998273998076203}
в г {'rel_weight': 0.985367436776212, 'rel_center': 0.999460321475707, 'rel_inertia': 0.999746656751779}
в д {'rel_weight': 0.9854213848825906, 'rel_center': 0.9932989569175225, 'rel_inertia': 0.9984987296130609}
в е {'rel_weight': 0.9993176672229408, 'rel_center': 0.9989559533612995, 'rel_inertia': 0.9998407513408644}
в ё {'rel_weight': 0.9866365431458062, 'rel_center': 0.9969349987767075, 'rel_inertia': 0.9991940231049947}
в ж {'rel_weight': 0.9840808089087221, 'rel_center': 0.9980653801949314, 'rel_inertia': 0.9987547686729585}
в з {'rel_weight': 0.9798741410496113, 'rel_center': 0.9983131778095113, 'rel_inertia': 0.9996473795254447}
в и {'rel_weight': 0.9884917313015895, 'rel_center': 0.9988887576797936, 'rel_inertia': 0.9996905749908027}
в й {'rel_weight': 0.9983895761641087, 'rel_center': 0.99749587589496, 'rel_inertia': 0.9989751980312358}
в к {'rel_weight': 0.9823462634795934, 'rel_center': 0.998285228226554, 'rel_inertia': 0.9994973300095197}
в л {'rel_weight': 0.992847906451603, 'rel_center': 0.9981135863336689, 'rel_inertia': 0.999565012272416}
в м {'rel_weight': 0.9725953336731458, 'rel_center': 0.9971576413184813, 'rel_inertia': 0.9980578687354604}
в н {'rel_weight': 0.9891801351800625, 'rel_center': 0.9993080231331415, 'rel_inertia': 0.9995193086288103}
в о {'rel_weight': 0.9926751087169255, 'rel_center': 0.9996539223723657, 'rel_inertia': 0.9996951543014871}
в п {'rel_weight': 0.9899298543837437, 'rel_center': 0.9969964229229282, 'rel_inertia': 0.9995505903893005}
в р {'rel_weight': 0.9891894903226535, 'rel_center': 0.9936497218484376, 'rel_inertia': 0.9977599729733373}
